YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2017,5,22,12,949.08
2017,5,22,13,901.88
2017,5,22,14,792.14
2017,5,22,15,643.0
2017,5,22,16,462.14
2017,5,22,17,265.22
2017,5,22,18,79.78
2017,5,22,19,0.0
2017,5,22,20,0.0
2017,5,22,21,0.0
2017,5,22,22,0.0
2017,5,22,23,0.0
2017,5,23,0,0.0
2017,5,23,1,0.0
2017,5,23,2,0.0
2017,5,23,3,0.0
2017,5,23,4,0.0
2017,5,23,5,82.3
2017,5,23,6,261.9
2017,5,23,7,447.36
2017,5,23,8,629.38
2017,5,23,9,795.78
2017,5,23,10,909.19
2017,5,23,11,955.03
2017,5,23,12,948.08
2017,5,23,13,910.52
2017,5,23,14,801.17
2017,5,23,15,651.91
2017,5,23,16,470.08
2017,5,23,17,271.57
2017,5,23,18,84.05
2017,5,23,19,0.0
2017,5,23,20,0.0
2017,5,23,21,0.0
2017,5,23,22,0.0
2017,5,23,23,0.0
2017,5,24,0,0.0
2017,5,24,1,0.0
2017,5,24,2,0.0
2017,5,24,3,0.0
2017,5,24,4,0.0
2017,5,24,5,93.08
2017,5,24,6,281.93
2017,5,24,7,480.14
2017,5,24,8,663.02
2017,5,24,9,812.12
2017,5,24,10,921.44
2017,5,24,11,967.65
2017,5,24,12,967.48
2017,5,24,13,903.57
2017,5,24,14,803.42
2017,5,24,15,661.34
2017,5,24,16,482.31
2017,5,24,17,275.38
2017,5,24,18,88.55
2017,5,24,19,0.0
2017,5,24,20,0.0
2017,5,24,21,0.0
2017,5,24,22,0.0
2017,5,24,23,0.0
2017,5,25,0,0.0
2017,5,25,1,0.0
2017,5,25,2,0.0
2017,5,25,3,0.0
2017,5,25,4,0.0
2017,5,25,5,91.56
2017,5,25,6,275.95
2017,5,25,7,472.12
2017,5,25,8,654.08
2017,5,25,9,803.18
2017,5,25,10,913.78
2017,5,25,11,954.96
2017,5,25,12,950.37
2017,5,25,13,898.55
2017,5,25,14,778.41
2017,5,25,15,634.71
2017,5,25,16,452.92
2017,5,25,17,254.9
2017,5,25,18,77.95
2017,5,25,19,0.0
2017,5,25,20,0.0
2017,5,25,21,0.0
2017,5,25,22,0.0
2017,5,25,23,0.0
2017,5,26,0,0.0
2017,5,26,1,0.0
2017,5,26,2,0.0
2017,5,26,3,0.0
2017,5,26,4,0.0
2017,5,26,5,80.29
2017,5,26,6,248.98
2017,5,26,7,439.23
2017,5,26,8,620.5
2017,5,26,9,772.82
2017,5,26,10,889.01
2017,5,26,11,942.48
2017,5,26,12,942.13
2017,5,26,13,885.02
2017,5,26,14,721.34
2017,5,26,15,604.19
2017,5,26,16,454.04
2017,5,26,17,254.38
2017,5,26,18,73.55
2017,5,26,19,0.0
2017,5,26,20,0.0
2017,5,26,21,0.0
2017,5,26,22,0.0
2017,5,26,23,0.0
2017,5,27,0,0.0
2017,5,27,1,0.0
2017,5,27,2,0.0
2017,5,27,3,0.0
2017,5,27,4,0.0
2017,5,27,5,67.23
2017,5,27,6,193.93
2017,5,27,7,350.45
2017,5,27,8,485.2
2017,5,27,9,667.38
2017,5,27,10,785.73
2017,5,27,11,935.13
2017,5,27,12,931.12
2017,5,27,13,890.55
2017,5,27,14,783.42
2017,5,27,15,617.87
2017,5,27,16,434.63
2017,5,27,17,258.05
2017,5,27,18,84.41
2017,5,27,19,0.0
2017,5,27,20,0.0
2017,5,27,21,0.0
2017,5,27,22,0.0
2017,5,27,23,0.0
2017,5,28,0,0.0
2017,5,28,1,0.0
2017,5,28,2,0.0
2017,5,28,3,0.0
2017,5,28,4,0.0
2017,5,28,5,85.09
2017,5,28,6,237.55
2017,5,28,7,412.02
2017,5,28,8,593.98
2017,5,28,9,751.3
2017,5,28,10,870.09
2017,5,28,11,895.14
2017,5,28,12,906.78
2017,5,28,13,840.42
2017,5,28,14,732.27
2017,5,28,15,605.01
2017,5,28,16,414.52
2017,5,28,17,237.48
2017,5,28,18,69.81
2017,5,28,19,0.0
2017,5,28,20,0.0
2017,5,28,21,0.0
2017,5,28,22,0.0
2017,5,28,23,0.0
2017,5,29,0,0.0
2017,5,29,1,0.0
2017,5,29,2,0.0
2017,5,29,3,0.0
2017,5,29,4,0.0
2017,5,29,5,67.9
2017,5,29,6,190.05
2017,5,29,7,358.73
2017,5,29,8,544.7
2017,5,29,9,701.45
2017,5,29,10,865.94
2017,5,29,11,915.98
2017,5,29,12,898.94
2017,5,29,13,831.54
2017,5,29,14,697.58
2017,5,29,15,577.52
2017,5,29,16,400.34
2017,5,29,17,215.06
2017,5,29,18,68.16
2017,5,29,19,0.0
2017,5,29,20,0.0
2017,5,29,21,0.0
2017,5,29,22,0.0
2017,5,29,23,0.0
2017,5,30,0,0.0
2017,5,30,1,0.0
2017,5,30,2,0.0
2017,5,30,3,0.0
2017,5,30,4,0.0
2017,5,30,5,44.26
2017,5,30,6,112.71
2017,5,30,7,152.75
2017,5,30,8,269.58
2017,5,30,9,310.75
2017,5,30,10,439.66
2017,5,30,11,470.13
2017,5,30,12,661.06
2017,5,30,13,609.6
2017,5,30,14,650.56
2017,5,30,15,461.19
2017,5,30,16,333.3
2017,5,30,17,184.17
2017,5,30,18,56.16
2017,5,30,19,0.0
2017,5,30,20,0.0
2017,5,30,21,0.0
2017,5,30,22,0.0
2017,5,30,23,0.0
2017,5,31,0,0.0
2017,5,31,1,0.0
2017,5,31,2,0.0
2017,5,31,3,0.0
2017,5,31,4,0.0
2017,5,31,5,78.76
2017,5,31,6,224.37
2017,5,31,7,410.6
2017,5,31,8,588.29
2017,5,31,9,735.06
2017,5,31,10,866.31
2017,5,31,11,917.59
2017,5,31,12,894.36
2017,5,31,13,851.75
2017,5,31,14,735.58
2017,5,31,15,558.44
2017,5,31,16,329.75
2017,5,31,17,180.06
2017,5,31,18,46.88
2017,5,31,19,0.0
2017,5,31,20,0.0
2017,5,31,21,0.0
2017,5,31,22,0.0
2017,5,31,23,0.0
2017,6,1,0,0.0
2017,6,1,1,0.0
2017,6,1,2,0.0
2017,6,1,3,0.0
2017,6,1,4,0.0
2017,6,1,5,86.55
2017,6,1,6,258.22
2017,6,1,7,446.18
2017,6,1,8,615.57
2017,6,1,9,772.25
2017,6,1,10,895.14
2017,6,1,11,933.02
2017,6,1,12,908.48
2017,6,1,13,824.88
2017,6,1,14,740.23
2017,6,1,15,608.05
2017,6,1,16,422.27
2017,6,1,17,230.0
2017,6,1,18,77.96
2017,6,1,19,0.0
2017,6,1,20,0.0
2017,6,1,21,0.0
2017,6,1,22,0.0
2017,6,1,23,0.0
2017,6,2,0,0.0
2017,6,2,1,0.0
2017,6,2,2,0.0
2017,6,2,3,0.0
2017,6,2,4,0.0
2017,6,2,5,74.3
2017,6,2,6,212.16
2017,6,2,7,380.16
2017,6,2,8,562.84
2017,6,2,9,734.52
2017,6,2,10,857.41
2017,6,2,11,934.4
2017,6,2,12,943.37
2017,6,2,13,885.42
2017,6,2,14,782.6
2017,6,2,15,641.85
2017,6,2,16,466.8
2017,6,2,17,271.16
2017,6,2,18,95.2
2017,6,2,19,0.0
2017,6,2,20,0.0
2017,6,2,21,0.0
2017,6,2,22,0.0
2017,6,2,23,0.0
2017,6,3,0,0.0
2017,6,3,1,0.0
2017,6,3,2,0.0
2017,6,3,3,0.0
2017,6,3,4,0.0
2017,6,3,5,55.39
2017,6,3,6,184.56
2017,6,3,7,324.62
2017,6,3,8,461.8
2017,6,3,9,570.54
2017,6,3,10,730.38
2017,6,3,11,681.03
2017,6,3,12,635.29
2017,6,3,13,748.7
2017,6,3,14,647.56
2017,6,3,15,438.94
2017,6,3,16,351.29
2017,6,3,17,200.59
2017,6,3,18,79.09
2017,6,3,19,0.0
2017,6,3,20,0.0
2017,6,3,21,0.0
2017,6,3,22,0.0
2017,6,3,23,0.0
2017,6,4,0,0.0
2017,6,4,1,0.0
2017,6,4,2,0.0
2017,6,4,3,0.0
2017,6,4,4,0.0
2017,6,4,5,23.24
2017,6,4,6,50.8
2017,6,4,7,81.6
2017,6,4,8,82.62
2017,6,4,9,232.06
2017,6,4,10,589.29
2017,6,4,11,723.31
2017,6,4,12,514.04
2017,6,4,13,476.2
2017,6,4,14,352.23
2017,6,4,15,272.33
2017,6,4,16,253.94
2017,6,4,17,140.16
2017,6,4,18,34.07
2017,6,4,19,4.53
2017,6,4,20,0.0
2017,6,4,21,0.0
2017,6,4,22,0.0
2017,6,4,23,0.0
2017,6,5,0,0.0
2017,6,5,1,0.0
2017,6,5,2,0.0
2017,6,5,3,0.0
2017,6,5,4,0.0
2017,6,5,5,94.62
2017,6,5,6,286.24
2017,6,5,7,480.51
2017,6,5,8,662.8
2017,6,5,9,794.64
2017,6,5,10,854.98
2017,6,5,11,890.98
2017,6,5,12,896.93
2017,6,5,13,796.58
2017,6,5,14,788.31
2017,6,5,15,662.28
2017,6,5,16,498.57
2017,6,5,17,296.99
2017,6,5,18,107.34
2017,6,5,19,7.2
2017,6,5,20,0.0
2017,6,5,21,0.0
2017,6,5,22,0.0
2017,6,5,23,0.0
2017,6,6,0,0.0
2017,6,6,1,0.0
2017,6,6,2,0.0
2017,6,6,3,0.0
2017,6,6,4,0.0
2017,6,6,5,92.61
2017,6,6,6,296.73
2017,6,6,7,495.56
2017,6,6,8,673.07
2017,6,6,9,813.04
2017,6,6,10,922.09
2017,6,6,11,967.71
2017,6,6,12,945.61
2017,6,6,13,901.68
2017,6,6,14,811.56
2017,6,6,15,647.05
2017,6,6,16,477.2
2017,6,6,17,283.74
2017,6,6,18,97.23
2017,6,6,19,7.23
2017,6,6,20,0.0
2017,6,6,21,0.0
2017,6,6,22,0.0
2017,6,6,23,0.0
2017,6,7,0,0.0
2017,6,7,1,0.0
2017,6,7,2,0.0
2017,6,7,3,0.0
2017,6,7,4,0.0
2017,6,7,5,88.48
2017,6,7,6,246.63
2017,6,7,7,430.34
2017,6,7,8,617.07
2017,6,7,9,755.6
2017,6,7,10,861.9
2017,6,7,11,941.21
2017,6,7,12,921.7
2017,6,7,13,885.67
2017,6,7,14,788.95
2017,6,7,15,648.53
2017,6,7,16,481.55
2017,6,7,17,284.07
2017,6,7,18,98.05
2017,6,7,19,6.79
2017,6,7,20,0.0
2017,6,7,21,0.0
2017,6,7,22,0.0
2017,6,7,23,0.0
2017,6,8,0,0.0
2017,6,8,1,0.0
2017,6,8,2,0.0
2017,6,8,3,0.0
2017,6,8,4,7.35
2017,6,8,5,96.88
2017,6,8,6,287.41
2017,6,8,7,481.29
2017,6,8,8,663.84
2017,6,8,9,810.52
2017,6,8,10,914.7
2017,6,8,11,957.98
2017,6,8,12,954.81
2017,6,8,13,901.05
2017,6,8,14,804.76
2017,6,8,15,647.27
2017,6,8,16,465.97
2017,6,8,17,277.78
2017,6,8,18,91.67
2017,6,8,19,7.02
2017,6,8,20,0.0
2017,6,8,21,0.0
2017,6,8,22,0.0
2017,6,8,23,0.0
2017,6,9,0,0.0
2017,6,9,1,0.0
2017,6,9,2,0.0
2017,6,9,3,0.0
2017,6,9,4,6.65
2017,6,9,5,59.73
2017,6,9,6,188.33
2017,6,9,7,337.77
2017,6,9,8,471.96
2017,6,9,9,627.03
2017,6,9,10,759.5
2017,6,9,11,807.83
2017,6,9,12,850.11
2017,6,9,13,780.63
2017,6,9,14,686.98
2017,6,9,15,532.52
2017,6,9,16,381.99
2017,6,9,17,212.61
2017,6,9,18,73.66
2017,6,9,19,6.53
2017,6,9,20,0.0
2017,6,9,21,0.0
2017,6,9,22,0.0
2017,6,9,23,0.0
2017,6,10,0,0.0
2017,6,10,1,0.0
2017,6,10,2,0.0
2017,6,10,3,0.0
2017,6,10,4,6.73
2017,6,10,5,74.68
2017,6,10,6,250.35
2017,6,10,7,445.49
2017,6,10,8,630.22
2017,6,10,9,775.25
2017,6,10,10,873.88
2017,6,10,11,905.73
2017,6,10,12,870.05
2017,6,10,13,859.2
2017,6,10,14,745.26
2017,6,10,15,610.77
2017,6,10,16,446.88
2017,6,10,17,266.79
2017,6,10,18,92.99
2017,6,10,19,6.99
2017,6,10,20,0.0
2017,6,10,21,0.0
2017,6,10,22,0.0
2017,6,10,23,0.0
2017,6,11,0,0.0
2017,6,11,1,0.0
2017,6,11,2,0.0
2017,6,11,3,0.0
2017,6,11,4,7.11
2017,6,11,5,90.7
2017,6,11,6,273.07
2017,6,11,7,465.69
2017,6,11,8,642.74
2017,6,11,9,790.31
2017,6,11,10,892.87
2017,6,11,11,945.32
2017,6,11,12,963.12
2017,6,11,13,918.39
2017,6,11,14,823.87
2017,6,11,15,674.87
2017,6,11,16,500.7
2017,6,11,17,307.82
2017,6,11,18,116.88
2017,6,11,19,8.12
2017,6,11,20,0.0
2017,6,11,21,0.0
2017,6,11,22,0.0
2017,6,11,23,0.0
2017,6,12,0,0.0
2017,6,12,1,0.0
2017,6,12,2,0.0
2017,6,12,3,0.0
2017,6,12,4,7.79
2017,6,12,5,106.58
2017,6,12,6,296.95
2017,6,12,7,489.02
2017,6,12,8,664.68
2017,6,12,9,810.81
2017,6,12,10,898.45
